schema,name,args,return_type,language,volatility,security_definer,lines,bytes,filename
public,et_issue_list,"parameter json, ref refcursor",refcursor,plpgsql,v,false,24,798,public/et_issue_list.sql
public,et_linkexplorer_incomming_doclinks,"parameter json, ref refcursor",refcursor,plpgsql,v,false,42,1225,public/et_linkexplorer_incomming_doclinks.sql
public,et_linkexplorer_incomming_factlinks,"parameter json, ref refcursor",refcursor,plpgsql,v,false,41,1212,public/et_linkexplorer_incomming_factlinks.sql
public,et_linkexplorer_outgoing_doclinks,"parameter json, ref refcursor",refcursor,plpgsql,v,false,37,1145,public/et_linkexplorer_outgoing_doclinks.sql
public,et_linkexplorer_outgoing_factlinks,"parameter json, ref refcursor",refcursor,plpgsql,v,false,37,1111,public/et_linkexplorer_outgoing_factlinks.sql
public,et_location_share,"parameter json, ref refcursor",refcursor,plpgsql,v,false,52,2251,public/et_location_share.sql
public,et_location_share_old,"parameter json, ref refcursor",refcursor,plpgsql,v,false,47,1935,public/et_location_share_old.sql
public,et_location_shared_user_from,"parameter json, ref refcursor",refcursor,plpgsql,v,false,23,742,public/et_location_shared_user_from.sql
public,et_location_shared_users,"parameter json, ref refcursor",refcursor,plpgsql,v,false,21,642,public/et_location_shared_users.sql
public,et_log_assign,parameter jsonb,integer,plpgsql,v,false,36,949,public/et_log_assign.sql
public,et_log_bundledetail,parameter jsonb,integer,plpgsql,v,false,34,906,public/et_log_bundledetail.sql
public,et_log_bundlemaster,parameter jsonb,integer,plpgsql,v,false,43,1399,public/et_log_bundlemaster.sql
public,et_log_bundlepermission,parameter jsonb,integer,plpgsql,v,false,39,1116,public/et_log_bundlepermission.sql
public,et_log_casemaster,parameter jsonb,integer,plpgsql,v,false,35,881,public/et_log_casemaster.sql
public,et_log_contact,parameter jsonb,integer,plpgsql,v,false,33,854,public/et_log_contact.sql
public,et_log_contactassign,parameter jsonb,integer,plpgsql,v,false,37,1084,public/et_log_contactassign.sql
public,et_log_dashboard,parameter jsonb,integer,plpgsql,v,false,24,602,public/et_log_dashboard.sql
