schema,name,severity,issue,details
public,et_user_tickets,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_userbuilder,LOW,SELECT_STAR,2 SELECT *
public,et_userbuilder,LOW,MANY_REFCURSORS,5 refcursors
public,et_userdetail,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_web_delete,LOW,SELECT_STAR,1 SELECT *
public,et_web_insert,LOW,MULTIPLE_SELECT_INTO,3 SELECT INTO statements
public,et_web_link_list,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_contacts_list,LOW,RAISE_NOTICE_DEBUG,1 statement(s)
public,et_workspace_contacts_list,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_contacts_list,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_workspace_fact_files,LOW,RAISE_NOTICE_DEBUG,2 statement(s)
public,et_workspace_fact_files,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_fact_files,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_workspace_fact_files,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"5 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_workspace_fact_issues,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_fact_issues,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_workspace_fact_issues,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"4 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_workspace_fact_issues_backup,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_fact_issues_backup,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_workspace_fact_issues_backup,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"8 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_workspace_fact_list,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_fact_list,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_workspace_fact_list,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"8 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_workspace_fact_list___07_working ,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_fact_list___07_working ,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_workspace_fact_list___07_working ,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"4 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_workspace_fact_list_backup_multiple,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_fact_list_backup_multiple,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_workspace_fact_list_correct_backup,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_fact_list_correct_backup,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_workspace_fact_list_correct_backup,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"5 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_workspace_issues_list,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_issues_list,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_workspace_issues_list_test,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_issues_list_test,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_workspace_organize,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_workspace_organize,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"4 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,filter_columnnames,LOW,RAISE_NOTICE_DEBUG,1 statement(s)
public,filter_columnnames,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,filter_whereclause,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,filter_whereclause_1,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,filter_whereclause_2,LOW,RAISE_NOTICE_DEBUG,2 statement(s)
public,filter_whereclause_2,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,filter_whereclause_3,LOW,RAISE_NOTICE_DEBUG,2 statement(s)
public,filter_whereclause_3,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,filter_whereclause_backup,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,fun_childers_bundles,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,fun_childers_bundles,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,fun_defaultpermission,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,get_livesession,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,get_livesession,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,get_livesession_bycase,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,get_sorted_hierarchy_bundle,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,get_sorted_hierarchy_bundle,LOW,SELECT_STAR,1 SELECT *
public,get_sorted_hierarchy_bundle,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
